custom/current_screen,custom/max_height,time/iterations,time/fps,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,train/clip_fraction,train/clip_range,train/learning_rate,train/value_loss,train/n_updates,train/entropy_loss,train/approx_kl,train/loss,train/explained_variance,train/policy_gradient_loss
0,-158.0,1,0,0.14499999999999985,512,512,3.63,,,,,,,,,,
0,-302.0,2,0,-0.16500000000000006,1032,1024,3.7,0.0546875,0.2,0.0003,151.07870588302612,10,-2.768385225534439,0.010525186,61.12055587768555,-0.0133589506149292,-0.03047600682475604
0,-302.0,3,0,-0.3820000000000005,1544,1536,3.68,0.037890625,0.2,0.0003,173.5075357437134,20,-2.754741206765175,0.008154836,78.13997650146484,0.022313356399536133,-0.02171034641796723
0,-302.0,4,0,0.14800000000000033,2059,2048,3.66,0.008203125,0.2,0.0003,153.60993604660035,30,-2.7472147226333616,0.0054543437,52.779258728027344,0.032482922077178955,-0.0170035186689347
0,-302.0,5,0,-0.02849999999999997,2593,2560,3.56,0.012109375,0.2,0.0003,155.98650188446044,40,-2.739268472790718,0.005928672,63.7494010925293,0.06210625171661377,-0.01714048381545581
0,-302.0,6,0,-0.4955000000000001,3128,3072,3.83,0.0166015625,0.2,0.0003,187.92233381271362,50,-2.730729404091835,0.0064298785,66.62980651855469,0.08230352401733398,-0.021378831251058727
0,-302.0,7,0,-0.0095,3661,3584,3.55,0.02109375,0.2,0.0003,165.92729387283325,60,-2.708102136850357,0.0074224146,97.8694076538086,0.06145656108856201,-0.01896797838853672
0,-302.0,8,0,-0.19900000000000018,4199,4096,3.82,0.0265625,0.2,0.0003,220.92003393173218,70,-2.6794172793626787,0.008220239,90.87723541259766,0.08860427141189575,-0.02031778171658516
0,-302.0,9,0,0.023000000000000256,4743,4608,3.61,0.019140625,0.2,0.0003,144.11257524490355,80,-2.6503229975700378,0.0074526984,70.43205261230469,0.1231088638305664,-0.02394682420999743
0,-158.0,10,0,-0.3604999999999998,5284,5120,3.72,0.0037109375,0.2,0.0003,192.99224681854247,90,-2.6415858030319215,0.003337802,118.1723861694336,0.14288514852523804,-0.01468986266409047
0,-302.0,11,0,-0.5355000000000001,5830,5632,3.53,0.0025390625,0.2,0.0003,162.93898401260375,100,-2.636719772219658,0.0033660396,86.58219146728516,0.1472572684288025,-0.01616756897419691
0,-14.0,12,0,0.15800000000000047,6376,6144,3.37,0.00234375,0.2,0.0003,202.19516716003417,110,-2.640326049923897,0.0035373585,81.97644805908203,0.1544051170349121,-0.015881088821333832
0,-302.0,13,0,-0.7614999999999995,6933,6656,3.64,0.0005859375,0.2,0.0003,237.25760803222656,120,-2.6359116554260256,0.0017219412,97.45132446289062,0.12130266427993774,-0.012561333729536273
0,-14.0,14,0,0.9504999999999998,7482,7168,3.54,0.0025390625,0.2,0.0003,149.28282957077028,130,-2.6082305401563644,0.0040366985,84.70146942138672,0.17859816551208496,-0.01466715246788226
0,-302.0,15,0,-0.25250000000000006,8050,7680,3.73,0.0064453125,0.2,0.0003,187.64537887573243,140,-2.5821182250976564,0.00464544,99.37264251708984,0.1540989875793457,-0.019394025852670894
0,-158.0,16,0,-0.11799999999999997,8609,8192,3.45,0.0150390625,0.2,0.0003,177.49269227981569,150,-2.55914768576622,0.0061446065,72.61711883544922,0.1689823865890503,-0.018623193277744577
0,-158.0,17,0,0.17000000000000046,9159,8704,3.4,0.00234375,0.2,0.0003,188.74742450714112,160,-2.554817244410515,0.0026682017,112.81420135498047,0.1367231011390686,-0.016906405286863446
0,-302.0,18,0,0.28750000000000026,9719,9216,3.37,0.003515625,0.2,0.0003,272.46887054443357,170,-2.5790168553590775,0.0030720434,146.1056671142578,0.15337008237838745,-0.018302849133033306
0,-158.0,19,0,-0.037499999999999825,10272,9728,3.43,0.0021484375,0.2,0.0003,259.4710481643677,180,-2.546976149082184,0.0022369479,117.82506561279297,0.13164293766021729,-0.01375332655152306
1,90.0,20,0,1.1295,10832,10240,3.43,0.00390625,0.2,0.0003,234.678763961792,190,-2.545320162177086,0.0035183008,121.21514892578125,0.16554957628250122,-0.018317014223430305
0,-14.0,21,0,0.8275,11385,10752,3.56,0.0083984375,0.2,0.0003,279.7110418319702,200,-2.5407960385084154,0.0036988254,105.89305877685547,0.14863550662994385,-0.01962530381279066
0,-302.0,22,0,0.15550000000000003,11943,11264,3.53,0.0048828125,0.2,0.0003,231.1541337966919,210,-2.5308254241943358,0.003421791,118.12334442138672,0.2057178020477295,-0.01591863114736043
0,-302.0,23,0,-0.358,12510,11776,3.44,0.0013671875,0.2,0.0003,285.3737283706665,220,-2.5048449605703356,0.0022166718,114.21692657470703,0.18744510412216187,-0.013049303513253108
0,-302.0,24,0,-0.1495000000000001,13074,12288,3.39,0.0,0.2,0.0003,276.7129919052124,230,-2.495196932554245,0.0019974108,131.4256134033203,0.23208385705947876,-0.011841561261098832
0,-302.0,25,0,-0.054499999999999924,13630,12800,3.47,0.01328125,0.2,0.0003,323.5861364364624,240,-2.518174573779106,0.0028347769,208.21835327148438,0.21744030714035034,-0.01894029149552807
1,186.0,26,0,0.3319999999999999,14193,13312,3.4,0.00390625,0.2,0.0003,238.290212726593,250,-2.4999397814273836,0.0027606403,120.4639663696289,0.13985806703567505,-0.018092652794439345
0,-158.0,27,0,-0.4170000000000001,14755,13824,3.55,0.0087890625,0.2,0.0003,198.2140661239624,260,-2.4799174070358276,0.0036219663,79.65461730957031,0.2139241099357605,-0.02073055350338109
0,-302.0,28,0,0.8414999999999994,15304,14336,3.35,0.006640625,0.2,0.0003,281.4233657836914,270,-2.4824385225772856,0.0026904372,118.21781158447266,0.19256877899169922,-0.015275690675480291
0,-158.0,29,0,0.22449999999999976,15870,14848,3.6,0.0041015625,0.2,0.0003,332.38321151733396,280,-2.504632353782654,0.0016896825,157.9740447998047,0.21401548385620117,-0.01396019667154178
1,90.0,30,0,0.2774999999999999,16418,15360,3.5,0.00625,0.2,0.0003,269.28304653167726,290,-2.4817577332258223,0.0030844512,129.11886596679688,0.23107075691223145,-0.017277453548740596
0,-302.0,31,0,0.2975000000000001,16970,15872,3.34,0.0052734375,0.2,0.0003,227.5694185256958,300,-2.4964699745178223,0.0034525017,128.6793670654297,0.18655163049697876,-0.016191664198413492
0,-302.0,32,0,0.7514999999999997,17526,16384,3.47,0.0140625,0.2,0.0003,281.7173406600952,310,-2.4859227299690247,0.0040905494,162.2745361328125,0.24269050359725952,-0.020213167613837867
1,90.0,33,0,1.139000000000001,18091,16896,3.42,0.0119140625,0.2,0.0003,222.2058012008667,320,-2.422153630852699,0.0042169085,150.7067108154297,0.24767035245895386,-0.01969002983532846
0,-302.0,34,0,0.28950000000000037,18636,17408,3.37,0.0060546875,0.2,0.0003,213.62232036590575,330,-2.4154617369174955,0.0023111182,118.78579711914062,0.266857385635376,-0.014643323177006095
0,-302.0,35,0,0.8380000000000001,19186,17920,3.2,0.00703125,0.2,0.0003,289.94820365905764,340,-2.4613980442285537,0.004086718,173.71083068847656,0.20300042629241943,-0.016997156926663592
0,-302.0,36,0,0.2484999999999998,19755,18432,3.05,0.0107421875,0.2,0.0003,286.34946193695066,350,-2.38036270737648,0.003319739,150.11581420898438,0.25852125883102417,-0.014952927827835083
0,-302.0,37,0,-0.8554999999999998,20318,18944,3.26,0.007421875,0.2,0.0003,340.7428482055664,360,-2.3728201359510424,0.0026422166,180.7360382080078,0.2561860680580139,-0.016362489410676063
0,-14.0,38,0,0.611,20872,19456,3.32,0.00859375,0.2,0.0003,302.67466621398927,370,-2.36716984808445,0.004470054,196.51194763183594,0.29110974073410034,-0.01765883784973994
0,-158.0,39,0,0.789,21449,19968,3.3,0.044140625,0.2,0.0003,307.0065643310547,380,-2.2776169270277022,0.009318376,174.7969207763672,0.22025913000106812,-0.02560996254906058
0,-14.0,40,0,1.2564999999999995,22043,20480,3.04,0.0185546875,0.2,0.0003,272.89761180877684,390,-2.22182754278183,0.0055933543,119.5933609008789,0.23983341455459595,-0.021346530580194666
0,-302.0,41,0,-1.1085000000000003,22631,20992,3.36,0.0185546875,0.2,0.0003,278.27136554718015,400,-2.1842207103967666,0.0046069175,189.12673950195312,0.31589698791503906,-0.02044448023661971
0,-158.0,42,0,0.9405000000000001,23219,21504,3.25,0.0130859375,0.2,0.0003,277.685408782959,410,-2.1176676362752915,0.0040960573,180.37501525878906,0.2510768175125122,-0.017614509759005158
0,-14.0,43,0,-0.14199999999999907,23822,22016,3.16,0.02109375,0.2,0.0003,301.7366811752319,420,-2.089447396993637,0.0051016132,137.01708984375,0.25655561685562134,-0.01988897498231381
1,186.0,44,0,0.2799999999999997,24410,22528,3.25,0.0154296875,0.2,0.0003,349.7327880859375,430,-2.020681655406952,0.0044116946,129.43927001953125,0.2532578706741333,-0.020366261136950926
0,-302.0,45,0,-0.2500000000000001,25012,23040,3.35,0.011328125,0.2,0.0003,288.23949298858645,440,-1.9878066450357437,0.003793799,180.58567810058594,0.22382181882858276,-0.017964719983865507
0,-158.0,46,0,0.794,25606,23552,3.07,0.0236328125,0.2,0.0003,311.9696842193604,450,-1.969606864452362,0.0044027576,170.86907958984375,0.3130757808685303,-0.01790341024461668
0,-14.0,47,0,0.3745000000000001,26194,24064,3.3,0.0166015625,0.2,0.0003,352.8798347473145,460,-1.9763061434030533,0.002936785,173.44029235839844,0.3223046660423279,-0.016965954378247262
0,-158.0,48,0,0.4739999999999992,26790,24576,3.2,0.0158203125,0.2,0.0003,260.05016269683836,470,-1.9243221566081048,0.0032313308,158.43992614746094,0.2962968945503235,-0.0154875848966185
0,-14.0,49,0,0.5704999999999996,27376,25088,3.29,0.014453125,0.2,0.0003,236.5701503753662,480,-1.9065963000059127,0.0037788511,111.39875793457031,0.32021284103393555,-0.01593315675854683
0,-158.0,50,0,0.8584999999999999,27963,25600,3.18,0.0341796875,0.2,0.0003,252.73691635131837,490,-1.8639170676469803,0.005461332,113.59941101074219,0.3370155096054077,-0.020957311399979518
0,-302.0,51,0,-0.6844999999999999,28554,26112,3.25,0.029296875,0.2,0.0003,308.1846616744995,500,-1.7707236886024476,0.0053572203,118.21138000488281,0.29586881399154663,-0.01922791787656024
0,-158.0,52,0,0.49849999999999994,29134,26624,3.15,0.0287109375,0.2,0.0003,265.30230236053467,510,-1.7306944966316222,0.004486379,132.45257568359375,0.33403271436691284,-0.02024628993822262
0,-14.0,53,0,1.3555,29736,27136,3.19,0.0310546875,0.2,0.0003,220.02402286529542,520,-1.7954316318035126,0.0057851505,83.4979019165039,0.3665923476219177,-0.020512473641429097
0,-158.0,54,0,-1.3174999999999997,30337,27648,3.31,0.018359375,0.2,0.0003,273.44526252746584,530,-1.6988628655672073,0.0030225734,107.66674041748047,0.2746378183364868,-0.017118535022018478
0,-14.0,55,0,-0.11300000000000057,30937,28160,3.29,0.0349609375,0.2,0.0003,194.02821407318115,540,-1.7755253121256829,0.005843126,81.39624786376953,0.41441988945007324,-0.0236286829225719
0,-302.0,56,0,0.03299999999999988,31525,28672,3.08,0.037109375,0.2,0.0003,222.71724739074708,550,-1.602007594704628,0.0059932503,89.61261749267578,0.37503522634506226,-0.026112421159632505
1,186.0,57,0,0.49649999999999994,32123,29184,3.09,0.0447265625,0.2,0.0003,232.5316022872925,560,-1.6931443750858306,0.006414237,128.39366149902344,0.4378814697265625,-0.020543615939095615
0,-158.0,58,0,-0.28999999999999915,32721,29696,3.22,0.0181640625,0.2,0.0003,223.43562326431274,570,-1.59087073802948,0.0032732883,120.26872253417969,0.3336135745048523,-0.014747566299047322
0,-302.0,59,0,-0.6550000000000007,33324,30208,3.46,0.050390625,0.2,0.0003,262.1386127471924,580,-1.5528047218918801,0.0072420025,123.35466766357422,0.37848764657974243,-0.020019258133834227
