custom/current_screen,time/time_elapsed,time/fps,rollout/ep_len_mean,custom/max_height,time/total_timesteps,time/iterations,rollout/ep_rew_mean,train/policy_gradient_loss,train/n_updates,train/value_loss,train/learning_rate,train/explained_variance,train/clip_fraction,train/approx_kl,train/loss,train/clip_range,train/entropy_loss
0,127,1,3.8181818181818183,-302.0,128,1,0.5060606060606059,,,,,,,,,,
0,259,0,3.8333333333333335,-158.0,256,2,0.4469696969696966,-0.02378326451871544,10,82.48495807647706,0.0003,-0.015181422233581543,0.00390625,0.003935456,42.196537017822266,0.2,-2.7716758370399477
0,390,0,3.81,-302.0,384,3,-0.3324999999999998,-0.01490877813193947,20,63.17029209136963,0.0003,0.016997992992401123,0.0,0.0031881179,34.07858657836914,0.2,-2.7663852691650392
0,519,0,3.75,-302.0,512,4,-0.789,-0.00867107161320746,30,224.71661605834962,0.0003,0.024760425090789795,0.0,0.0012007705,113.69148254394531,0.2,-2.7601237177848814
0,654,0,3.7,-158.0,640,5,-0.6685000000000001,-0.006219533272087574,40,320.45025939941405,0.0003,0.024708867073059082,0.0,0.00042138202,172.7985382080078,0.2,-2.758232605457306
0,787,0,3.63,-302.0,768,6,-0.9620000000000001,-0.007505035074427724,50,233.23755645751953,0.0003,0.007593870162963867,0.0,0.00050978875,119.39868927001953,0.2,-2.7541507363319395
0,918,0,3.59,-302.0,896,7,-0.9764999999999998,-0.015080791246145964,60,265.8907829284668,0.0003,0.021305322647094727,0.0,0.0017468394,125.62711334228516,0.2,-2.750172662734985
0,1055,0,3.49,-158.0,1024,8,-0.9874999999999997,-0.007642478472553194,70,398.9011749267578,0.0003,0.03404104709625244,0.0,0.0006482145,227.32162475585938,0.2,-2.745209574699402
0,1193,0,3.56,-302.0,1152,9,-0.5129999999999998,-0.007361641898751259,80,305.0426368713379,0.0003,0.05614018440246582,0.0,0.0004946855,156.16372680664062,0.2,-2.740234208106995
0,1333,0,3.65,-302.0,1280,10,-0.9125000000000001,-0.014864991139620542,90,133.4773250579834,0.0003,0.057898104190826416,0.0,0.0017920895,73.5846176147461,0.2,-2.735716938972473
0,1460,0,3.71,-158.0,1408,11,-0.32300000000000045,-0.006509717414155602,100,145.18841056823732,0.0003,0.0961066484451294,0.0,0.001113995,71.40601348876953,0.2,-2.727463722229004
0,1598,0,3.64,-302.0,1536,12,-0.021000000000000144,-0.009126264113001525,110,378.42147064208984,0.0003,0.06431597471237183,0.0,0.0009169639,169.08180236816406,0.2,-2.7175986409187316
0,1734,0,3.46,-158.0,1664,13,0.7680000000000001,-0.011859175749123096,120,254.2278091430664,0.0003,0.07154828310012817,0.0,0.0013799956,137.5119171142578,0.2,-2.715881824493408
0,1870,0,3.54,-302.0,1792,14,0.479,-0.012737782101612537,130,324.48966217041016,0.0003,0.06066906452178955,0.0,0.001658346,155.6932373046875,0.2,-2.719306755065918
0,2005,0,3.53,-302.0,1920,15,0.015999999999999945,-0.01563938381150365,140,147.21969985961914,0.0003,0.08764022588729858,0.0015625,0.0022226088,71.61918640136719,0.2,-2.6906508684158323
1,2140,0,3.51,186.0,2048,16,0.578,-0.011980743438471109,150,317.30985870361326,0.0003,0.09348821640014648,0.0,0.0014495249,160.43638610839844,0.2,-2.684318721294403
0,2279,0,3.39,-302.0,2176,17,-0.11999999999999972,-0.012290083756670355,160,230.67253646850585,0.0003,0.037098824977874756,0.0,0.0018986594,88.27819061279297,0.2,-2.6665030837059023
0,2419,0,3.37,-302.0,2304,18,0.43549999999999983,-0.009813099214807153,170,429.66329498291014,0.0003,0.10813760757446289,0.0,0.0014410415,154.0935516357422,0.2,-2.658960235118866
0,2567,0,3.6,-302.0,2432,19,0.10099999999999994,-0.010190315451472998,180,142.76435165405275,0.0003,0.05904430150985718,0.0,0.0013184566,69.6825180053711,0.2,-2.6496843338012694
0,2700,0,3.64,-158.0,2560,20,0.8275,-0.0048966886242851615,190,168.99107208251954,0.0003,0.14164870977401733,0.0,0.001049161,77.60762023925781,0.2,-2.6321070432662963
0,2840,0,3.65,-302.0,2688,21,0.8604999999999997,-0.01023097790312022,200,364.7973663330078,0.0003,0.11291724443435669,0.0,0.0012542633,181.0346221923828,0.2,-2.6309055924415587
0,2983,0,3.63,-158.0,2816,22,-0.006499999999999559,-0.011099918093532325,210,288.4778121948242,0.0003,0.10129797458648682,0.0,0.0012269863,142.09805297851562,0.2,-2.622877502441406
0,3126,0,3.4,-302.0,2944,23,-0.5225,-0.006955670076422393,220,260.3870475769043,0.0003,0.11571729183197021,0.0,0.00088014035,158.83035278320312,0.2,-2.59946928024292
0,3260,0,3.45,-302.0,3072,24,-0.49250000000000027,-0.007786758476868272,230,349.8929153442383,0.0003,0.15028172731399536,0.0,0.0009768852,181.90383911132812,0.2,-2.606709933280945
0,3397,0,3.4,-302.0,3200,25,-0.16300000000000003,-0.007387664285488427,240,174.3871643066406,0.0003,0.10759329795837402,0.0,0.00085747335,81.43399810791016,0.2,-2.5617231249809267
0,3533,0,3.57,-158.0,3328,26,-0.34399999999999975,-0.007592739979736507,250,203.96317672729492,0.0003,0.14297330379486084,0.0,0.000793729,99.16905212402344,0.2,-2.5870875239372255
0,3676,0,3.53,-302.0,3456,27,0.1985000000000001,-0.008043494028970598,260,306.5264495849609,0.0003,0.14417630434036255,0.0,0.0007680161,134.8186798095703,0.2,-2.5534085392951966
0,3820,0,3.45,-158.0,3584,28,0.24899999999999994,-0.011313401022925973,270,202.53310623168946,0.0003,0.22567564249038696,0.0,0.0016410984,99.9665756225586,0.2,-2.5482155323028564
0,3962,0,3.46,-158.0,3712,29,0.5984999999999999,-0.012438978208228946,280,395.62285766601565,0.0003,0.09946936368942261,0.00390625,0.00094294874,177.9822235107422,0.2,-2.5779345750808718
0,4106,0,3.33,-158.0,3840,30,0.14899999999999966,-0.009675598377361894,290,289.3931602478027,0.0003,0.20416641235351562,0.0,0.0007580952,137.13609313964844,0.2,-2.5413974642753603
0,4250,0,3.42,-302.0,3968,31,0.3400000000000001,-0.006407140102237463,300,361.03454132080077,0.0003,0.14818143844604492,0.0,0.0006105779,156.5202178955078,0.2,-2.537145972251892
0,4389,0,3.29,-14.0,4096,32,1.1770000000000007,-0.007420882629230618,310,245.83230056762696,0.0003,0.1251043677330017,0.0,0.0005987147,144.1927490234375,0.2,-2.5464243412017824
0,4531,0,3.47,-158.0,4224,33,0.7635000000000006,-0.008832739107310772,320,503.78560028076174,0.0003,0.1252957582473755,0.0,0.0006336239,266.6325988769531,0.2,-2.5810269951820373
0,4672,0,3.42,-302.0,4352,34,0.015999999999999955,-0.010597060201689601,330,174.42303771972655,0.0003,0.27611929178237915,0.0,0.0012972518,79.04863739013672,0.2,-2.525297665596008
0,4816,0,3.54,-302.0,4480,35,-0.11550000000000044,-0.013006625650450587,340,323.65039291381834,0.0003,0.10906511545181274,0.0,0.0018974943,175.27552795410156,0.2,-2.543020415306091
0,4965,0,3.65,-158.0,4608,36,-1.0939999999999999,-0.005772906541824341,350,178.43573150634765,0.0003,0.18642902374267578,0.0,0.0008119894,86.20552062988281,0.2,-2.476764273643494
0,5113,0,3.64,-158.0,4736,37,-1.4485,-0.01650838991627097,360,73.11436710357665,0.0003,0.31441956758499146,0.00078125,0.0046453387,29.092309951782227,0.2,-2.4709148168563844
0,5255,0,3.59,-302.0,4864,38,-1.0435000000000003,-0.010758927837014199,370,288.3281951904297,0.0003,0.13678061962127686,0.0,0.0024459064,158.17454528808594,0.2,-2.548580694198608
