time/iterations,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,custom/max_height,custom/current_screen,time/time_elapsed,time/fps,train/explained_variance,train/value_loss,train/n_updates,train/learning_rate,train/clip_fraction,train/clip_range,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/loss
1,2048,-123.84048665999997,6.43,13058.0,37,2534,0,,,,,,,,,,
2,4096,-114.71452285999996,7.97,13026.0,37,4903,0,0.0001533031463623047,20437.818145751953,47,0.0001,0.0681640625,0.2,-0.849401606246829,0.0062982277,-0.010264684444700833,12109.0341796875
3,6144,-88.52223242999997,7.83,13058.0,37,7247,0,4.589557647705078e-05,26475.93829956055,52,0.0001,0.03662109375,0.2,-0.8270799908787012,0.005550177,-0.007519952868460677,19327.947265625
4,8192,-71.16888445,8.95,13026.0,37,9507,0,2.7954578399658203e-05,22759.085711669923,57,0.0001,0.12919921875,0.2,-0.7900409817695617,0.012749487,-0.005154158821096644,10407.783203125
5,10240,-107.07781670999996,7.79,13058.0,37,11690,0,0.00026553869247436523,21857.895422363283,62,0.0001,0.0775390625,0.2,-0.7759190831333399,0.012256583,-0.00441284106054809,10126.76171875
6,12288,-74.27451107,8.99,13026.0,37,13864,0,0.0006143450736999512,20261.53822631836,67,0.0001,0.0814453125,0.2,-0.7792662177234888,0.0069709327,-0.007096539760823362,10910.4716796875
7,14336,-70.12702468,9.99,13026.0,37,15912,0,0.00017076730728149414,24780.628097306435,72,0.0001,0.08115671641791045,0.2,-0.7610635935370602,0.013997038,-0.005500211576764375,14091.6572265625
8,16384,-78.77446885,9.16,13026.0,37,18100,0,0.0008289813995361328,23724.428118896485,77,0.0001,0.02734375,0.2,-0.7985908575356007,0.0042484277,-0.004284611807088367,10291.6123046875
9,18432,-46.605157479999995,8.9,13026.0,37,20401,0,0.0007194280624389648,27356.747668457032,82,0.0001,0.06337890625,0.2,-0.8344908937811851,0.008201328,-0.0054066415090346705,9341.599609375
10,20480,-58.257546530000006,10.37,13026.0,37,22392,0,0.001211404800415039,30978.411041259766,87,0.0001,0.019921875,0.2,-0.7874318499118089,0.004426902,-0.0038013741868780926,11129.486328125
11,22528,-80.99016697,9.99,13058.0,37,24552,0,0.0018603801727294922,26399.659674072267,92,0.0001,0.0115234375,0.2,-0.787821888923645,0.0032301792,-0.004056786929140799,14624.4248046875
12,24576,-82.69192097,8.43,13026.0,37,26868,0,0.007898271083831787,23858.05143432617,97,0.0001,0.01953125,0.2,-0.819075395539403,0.0041915295,-0.0036337327619548887,12080.3251953125
13,26624,-49.82230328,10.98,13026.0,37,28851,0,0.005868792533874512,22036.93203125,102,0.0001,0.0298828125,0.2,-0.7558430392295122,0.006028223,-0.0070657751173712315,9687.2578125
14,28672,-69.86007596,8.53,13026.0,37,30931,0,0.00572580099105835,25616.977935791016,107,0.0001,0.05107421875,0.2,-0.8158166065812111,0.004393763,-0.007296031070291064,9078.697265625
15,30720,-31.563679280000006,10.83,13058.0,37,32872,0,0.004576563835144043,26368.226916503907,112,0.0001,0.0087890625,0.2,-0.75723190382123,0.0035801646,-0.003518337261630222,13379.7412109375
16,32768,-89.80489075999996,10.4,13058.0,37,34866,0,0.013204336166381836,24962.159918212892,117,0.0001,0.00107421875,0.2,-0.7949161428958178,0.0007691907,-0.0017035805620253086,12724.9833984375
17,34816,-42.164069440000006,9.44,13058.0,37,36954,0,0.01115274429321289,28457.637634277344,122,0.0001,0.00244140625,0.2,-0.7901808463037014,0.002975149,-0.003496961246128194,15835.701171875
18,36864,-79.35433671999999,10.25,13058.0,37,38896,0,0.012053728103637695,28863.2770324707,127,0.0001,0.0009765625,0.2,-0.7550233881920576,0.0010308882,-0.0021820159890921786,13707.361328125
19,38912,-90.09510136999998,9.25,13282.0,37,41033,0,0.0041179656982421875,36609.83184814453,132,0.0001,0.0005859375,0.2,-0.7884833373129367,0.0008097951,-0.0013024520420003682,22311.384765625
20,40960,-34.414927860000006,10.71,13058.0,37,42966,0,0.01177370548248291,27420.843035888673,137,0.0001,9.765625e-05,0.2,-0.7544502329081297,0.0010351324,-0.0022542342980159447,9219.5908203125
21,43008,-70.77324863999999,10.32,13282.0,37,45018,0,0.010592758655548096,27817.42890625,142,0.0001,0.00078125,0.2,-0.8027852196246386,0.0006771914,-0.0012132931122323498,15035.6318359375
22,45056,-45.44322779,9.6,13202.0,37,46998,0,0.006843924522399902,25420.030871582032,147,0.0001,0.00361328125,0.2,-0.7848827246576547,0.0020393203,-0.0013755719497567042,14129.6787109375
23,47104,-18.06797454,10.59,13058.0,37,48963,0,0.01277536153793335,35028.45089111328,152,0.0001,0.003515625,0.2,-0.76545295342803,0.00096556736,-0.0027148467692313717,21843.1796875
24,49152,-61.16993423000001,10.26,13026.0,37,50940,0,0.0113869309425354,33708.80187988281,157,0.0001,0.0046875,0.2,-0.7929107900708914,0.0013145958,-0.0018355164327658712,15554.525390625
25,51200,-69.52004004,9.56,13058.0,37,52985,0,0.009317338466644287,30990.65838623047,162,0.0001,0.0025390625,0.2,-0.7901137549430132,0.0009056825,-0.0019573649449739607,12180.3046875
26,53248,-75.44082945999999,9.57,13058.0,37,55021,0,0.013247847557067871,27994.562060546876,167,0.0001,0.0015625,0.2,-0.747432642057538,0.0014913301,-0.0030510926313581876,11594.458984375
27,55296,-64.90314641,8.96,13202.0,37,57185,0,0.018061041831970215,28295.778466796874,172,0.0001,0.00029296875,0.2,-0.74519332498312,0.00101653,-0.0024319562886375933,11595.15234375
28,57344,-64.5101997,10.78,13258.0,37,59280,0,0.01180720329284668,30987.357971191406,177,0.0001,0.00205078125,0.2,-0.7289978697896004,0.0007181042,-0.0022449586424045263,14049.685546875
29,59392,-68.94905427,10.74,13258.0,37,61350,0,0.019504547119140625,24253.371044921874,182,0.0001,0.00224609375,0.2,-0.7524602390825749,0.0016791386,-0.00281822677643504,15686.412109375
30,61440,-48.46874948,10.07,13202.0,37,63313,0,0.015156567096710205,25483.248486328124,187,0.0001,0.000390625,0.2,-0.7774786416441202,0.0011206656,-0.002280407705984544,13899.4501953125
31,63488,-83.03987264999996,8.25,13058.0,37,65373,0,0.013318419456481934,38076.250427246094,192,0.0001,0.000390625,0.2,-0.7708301909267903,0.0011944526,-0.0006522119714645669,25617.291015625
32,65536,-71.46200854,10.04,13026.0,37,67393,0,0.008100688457489014,31457.909924316406,197,0.0001,0.00185546875,0.2,-0.7273048516362906,0.001748597,-0.00216185862373095,15396.5791015625
33,67584,-55.45551341999999,10.83,13058.0,37,69356,0,0.01135331392288208,26288.414880371092,202,0.0001,0.00302734375,0.2,-0.7560559276491403,0.0028866474,-0.0037051152990898117,12261.2265625
34,69632,-96.95058618999995,9.64,13058.0,37,71418,0,0.014604389667510986,25994.593280029298,207,0.0001,0.00400390625,0.2,-0.8073038220405578,0.001883438,-0.0020519083976978437,13056.7470703125
35,71680,-47.92692936,10.94,13282.0,37,73414,0,0.019183814525604248,24579.717199707033,212,0.0001,0.00087890625,0.2,-0.7641546215862036,0.00083638885,-0.0016220876947045325,13376.0458984375
36,73728,-61.00398131,9.88,13026.0,37,75378,0,0.013798296451568604,28615.36378173828,217,0.0001,0.0001953125,0.2,-0.7713093306869269,0.00030069295,-0.0007039469463052228,11916.3681640625
37,75776,-78.27603706999999,10.47,13258.0,37,77473,0,0.015726745128631592,31026.058337402344,222,0.0001,0.003125,0.2,-0.7914678648114204,0.0014747547,-0.0019565225520636886,15025.93359375
38,77824,-68.41910498,12.88,13202.0,37,79384,0,0.018370449542999268,30580.596923828125,227,0.0001,0.00703125,0.2,-0.7952075928449631,0.0018044098,-0.003929734624398407,8534.056640625
39,79872,-68.93519823000001,9.27,13026.0,37,81455,0,0.018171191215515137,25569.226989746094,232,0.0001,0.004296875,0.2,-0.8017761223018169,0.0008340685,-0.0014507633837638422,13835.6455078125
40,81920,-30.64792119,9.13,13058.0,37,83555,0,0.012724101543426514,28828.53681640625,237,0.0001,0.0029296875,0.2,-0.7712496943771839,0.0029751784,-0.002683165451162495,12945.6123046875
41,83968,-33.68547586,10.86,13202.0,37,85553,0,0.01069551706314087,35038.90762939453,242,0.0001,0.00380859375,0.2,-0.7199450198560953,0.0024101394,-0.0034949782566400245,22683.044921875
